,id,dt,i,c,m,p,t
0,4SI,2024-06-14T17:06:29+02:00,R0.75,0.75,,,clickacompany
1,ABG,2024-06-14T17:06:28+02:00,R165.91,157.10,8.81,5.61%,clickacompany
2,ABSP,2024-06-14T14:13:34+02:00,R726.00,731.00,-5.00,-0.68%,clickacompany
3,ACL,2024-06-14T17:00:38+02:00,R1.00,1.04,-0.04,-3.85%,clickacompany
4,ACS,2024-06-14T17:06:29+02:00,R7.86,7.86,,,clickacompany
5,ACT,2024-06-14T16:48:38+02:00,R2.89,2.80,0.09,3.21%,clickacompany
6,ADH,2024-06-14T16:49:56+02:00,R27.48,27.12,0.36,1.33%,clickacompany
7,ADR,2024-06-14T17:00:27+02:00,R3.90,3.80,0.10,2.63%,clickacompany
8,ADW,2024-06-14T17:06:29+02:00,R0.11,0.11,,,clickacompany
9,AEG,2024-06-14T17:00:06+02:00,R6.80,6.80,,,clickacompany
10,AEL,2024-06-14T16:41:21+02:00,R12.97,13.00,-0.03,-0.23%,clickacompany
11,AFE,2024-06-14T17:00:05+02:00,R96.91,95.64,1.27,1.33%,clickacompany
12,AFEP,2024-06-14T11:02:26+02:00,R14.50,14.50,,,clickacompany
13,AFH,2024-06-14T17:00:58+02:00,R6.91,6.91,,,clickacompany
14,ANI,2024-06-14T17:06:29+02:00,R4.50,4.50,,,clickacompany
15,AIL,2024-06-14T17:00:30+02:00,R5.81,5.90,-0.09,-1.53%,clickacompany
16,ATI,2024-06-14T17:06:29+02:00,R0.12,0.12,,,clickacompany
17,AFT,2024-06-14T17:00:24+02:00,R66.63,66.45,0.18,0.27%,clickacompany
18,AGL,2024-06-14T17:00:06+02:00,R560.72,562.50,-1.78,-0.32%,clickacompany
19,AHL,2024-06-14T17:06:29+02:00,R0.02,0.02,,,clickacompany
20,AIP,2024-06-14T17:00:17+02:00,R57.74,55.00,2.74,4.98%,clickacompany
21,APH,2024-06-14T17:06:29+02:00,R15.00,15.00,,,clickacompany
22,AME,2024-06-14T17:06:29+02:00,R46.25,46.25,,,clickacompany
23,AMS,2024-06-14T17:00:20+02:00,R575.57,587.25,-11.68,-1.99%,clickacompany
24,ANG,2024-06-14T17:03:41+02:00,R420.62,418.32,2.30,0.55%,clickacompany
25,ANH,2024-06-14T17:09:06+02:00,"R1,087.71","1,111.25",-23.54,-2.12%,clickacompany
26,AON,2024-06-14T17:06:29+02:00,R14.99,14.99,,,clickacompany
27,AOO,2024-06-14T17:06:29+02:00,R16.25,16.25,,,clickacompany
28,AOVP,2024-06-14T17:06:29+02:00,R10.03,10.03,,,clickacompany
29,APF,2024-06-14T16:18:26+02:00,R0.47,0.47,,,clickacompany
30,APN,2024-06-14T17:07:20+02:00,R220.13,225.00,-4.87,-2.16%,clickacompany
31,ARA,2024-06-14T17:06:29+02:00,R7.10,7.10,,,clickacompany
32,APO,2024-06-14T17:06:29+02:00,R2.99,2.99,,,clickacompany
